"행정구역별","성별","연령별","경제활동상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"동부","계","40~44","일하지 않았음","2020년","57844","12899","224","30342","2920","6807","3425","1227",
"동부","계","45~49","합계","2020년","390531","161336","211","156761","5217","44584","18739","3683",
"동부","계","45~49","주로 일하였음","2020년","294290","141196","31","108109","924","30575","11820","1635",
"동부","계","45~49","틈틈이 일하였음","2020년","8736","2809","26","3980","91","1225","555","50",
"동부","계","45~49","일시 휴직","2020년","11679","4331","5","5367","103","1148","592","133",
"동부","계","45~49","일하지 않았음","2020년","75826","13000","149","39305","4099","11636","5772","1865",
"동부","계","50~54","합계","2020년","393310","137159","56","149149","7006","70705","25011","4224",
"동부","계","50~54","주로 일하였음","2020년","279592","120458","38","95944","1072","45929","14548","1603",
"동부","계","50~54","틈틈이 일하였음","2020년","8141","1992","6","3399","104","1952","568","120",
"동부","계","50~54","일시 휴직","2020년","10617","3104","","4640","191","1712","825","145",
"동부","계","50~54","일하지 않았음","2020년","94960","11605","12","45166","5639","21112","9070","2356",
"동부","계","55~59","합계","2020년","413826","110146","23","143480","9391","104494","41825","4467",
"동부","계","55~59","주로 일하였음","2020년","262281","95584","8","80081","1091","61746","22284","1487",
"동부","계","55~59","틈틈이 일하였음","2020년","8297","1689","8","3086","82","2692","647","93",
"동부","계","55~59","일시 휴직","2020년","9658","2274","","4214","181","2075","759","155",
"동부","계","55~59","일하지 않았음","2020년","133590","10599","7","56099","8037","37981","18135","2732",
"동부","계","60~64","합계","2020년","440021","77514","16","140250","10266","132361","76928","2686",
"동부","계","60~64","주로 일하였음","2020년","219568","62941","5","62093","1073","60366","32156","934",
"동부","계","60~64","틈틈이 일하였음","2020년","9051","1391","","2838","89","3432","1250","51",
"동부","계","60~64","일시 휴직","2020년","7654","1529","","2717","110","2214","1001","83",
"동부","계","60~64","일하지 않았음","2020년","203748","11653","11","72602","8994","66349","42521","1618",
"동부","계","65~69","합계","2020년","342070","33580","6","97153","8062","107214","93958","2097",
"동부","계","65~69","주로 일하였음","2020년","114660","24877","","28950","644","33741","25981","467",
"동부","계","65~69","틈틈이 일하였음","2020년","6166","646","","1661","85","2206","1546","22",
"동부","계","65~69","일시 휴직","2020년","3631","670","","1063","39","1196","627","36",
"동부","계","65~69","일하지 않았음","2020년","217613","7387","6","65479","7294","70071","65804","1572",
"동부","계","70~74","합계","2020년","278118","13714","14","61012","6370","85279","110634","1095",
"동부","계","70~74","주로 일하였음","2020년","59337","8781","","11768","282","17858","20455","193",
"동부","계","70~74","틈틈이 일하였음","2020년","4557","287","","980","47","1658","1556","29",
"동부","계","70~74","일시 휴직","2020년","1787","218","","476","22","551","514","6",
"동부","계","70~74","일하지 않았음","2020년","212437","4428","14","47788","6019","65212","88109","867",
"동부","계","75~79","합계","2020년","235681","6544","","31549","6080","74384","116313","811",
"동부","계","75~79","주로 일하였음","2020년","31508","3141","","4173","206","9992","13924","72",
"동부","계","75~79","틈틈이 일하였음","2020년","3201","168","","465","40","1126","1398","4",
"동부","계","75~79","일시 휴직","2020년","822","77","","194","10","204","329","8",
"동부","계","75~79","일하지 않았음","2020년","200150","3158","","26717","5824","63062","100662","727",
"동부","계","80~84","합계","2020년","171984","808","","","4904","71071","94802","399",
"동부","계","80~84","주로 일하였음","2020년","12193","255","","","112","5440","6372","14",
"동부","계","80~84","틈틈이 일하였음","2020년","1365","11","","","7","706","641","",
"동부","계","80~84","일시 휴직","2020년","312","","","","","182","130","",
