"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"서울특별시","전라북도","3인",431,422,458,389,360,296,225,239,224,182
"서울특별시","전라북도","4인",252,260,273,218,197,149,129,147,131,98
"서울특별시","전라북도","5인",61,65,57,44,31,37,30,28,20,13
"서울특별시","전라남도","계",11401,11719,11654,10625,10287,9526,9693,9702,9596,8418
"서울특별시","전라남도","1인",9692,9999,9907,9146,8954,8442,8648,8702,8466,7511
"서울특별시","전라남도","2인",1006,995,992,854,806,694,652,649,727,538
"서울특별시","전라남도","3인",396,396,410,359,303,231,234,222,260,246
"서울특별시","전라남도","4인",250,263,264,206,178,121,124,107,119,103
"서울특별시","전라남도","5인",51,52,66,52,38,29,28,18,19,18
"서울특별시","경상북도","계",11758,11807,12394,11465,10409,10110,10203,10242,11027,9687
"서울특별시","경상북도","1인",10120,10181,10750,9846,9133,8937,9140,9137,10002,8775
"서울특별시","경상북도","2인",953,956,957,889,769,706,622,690,677,582
"서울특별시","경상북도","3인",400,390,383,405,294,262,254,231,217,197
"서울특별시","경상북도","4인",236,219,236,247,167,155,154,150,102,109
"서울특별시","경상북도","5인",44,52,56,63,37,43,26,28,24,20
"서울특별시","경상남도","계",11487,11948,12202,11273,10504,9787,9665,9956,10100,9117
"서울특별시","경상남도","1인",9788,10248,10466,9845,9175,8644,8656,8890,9153,8231
"서울특별시","경상남도","2인",864,931,888,755,740,651,556,649,604,562
"서울특별시","경상남도","3인",486,448,492,401,356,275,264,256,203,193
"서울특별시","경상남도","4인",286,265,294,217,200,172,150,134,102,114
"서울특별시","경상남도","5인",51,51,49,42,29,32,32,22,28,13
"서울특별시","제주특별자치도","계",5731,6687,7773,7969,7917,7554,6720,7168,7426,6942
"서울특별시","제주특별자치도","1인",4555,5334,6244,6480,6483,6183,5646,5936,6206,5840
"서울특별시","제주특별자치도","2인",574,690,768,811,726,755,597,663,694,596
"서울특별시","제주특별자치도","3인",340,393,467,413,426,379,289,367,346,323
