"서울특별시","여자","25~29세",124199,103883,93039,7638,3206,20316,-
"서울특별시","여자","30~34세",81326,71479,64980,3631,2868,9847,-
"서울특별시","여자","35~39세",55945,47714,43276,1858,2580,8231,-
"서울특별시","여자","40~44세",40374,33320,30088,1359,1873,7054,-
"서울특별시","여자","45~49세",37856,29302,26423,1380,1499,8554,-
"서울특별시","여자","50~54세",33911,24681,22213,1225,1243,9230,-
"서울특별시","여자","55~59세",38624,24562,22304,1297,961,14062,-
"서울특별시","여자","60~64세",52516,26801,24262,1561,978,25715,-
"서울특별시","여자","65~69세",48062,15217,13535,1157,525,32845,-
"서울특별시","여자","70세 이상",136661,15711,13724,1563,424,120950,-
"부산광역시","계","합계",455184,240029,215397,16542,8090,215155,-
"부산광역시","계","15~19세",4490,1099,368,695,36,3391,-
"부산광역시","계","20~24세",36903,17117,10253,6477,387,19786,-
"부산광역시","계","25~29세",46740,36076,32292,2769,1015,10664,-
"부산광역시","계","30~34세",33655,28089,26219,901,969,5566,-
"부산광역시","계","35~39세",27809,22839,21450,561,828,4970,-
"부산광역시","계","40~44세",24544,19382,18172,367,843,5162,-
"부산광역시","계","45~49세",28650,21360,19811,657,892,7290,-
"부산광역시","계","50~54세",31838,22436,20928,660,848,9402,-
"부산광역시","계","55~59세",37611,23233,21694,724,815,14378,-
"부산광역시","계","60~64세",46987,22847,21222,897,728,24140,-
"부산광역시","계","65~69세",41298,12940,11818,734,388,28358,-
"부산광역시","계","70세 이상",94659,12611,11170,1100,341,82048,-
"부산광역시","남자","합계",206304,126773,115793,6994,3986,79531,-
"부산광역시","남자","15~19세",1856,397,137,247,13,1459,-
"부산광역시","남자","20~24세",15709,5911,2977,2779,155,9798,-
"부산광역시","남자","25~29세",24621,17688,15642,1612,434,6933,-
"부산광역시","남자","30~34세",20296,17122,16165,529,428,3174,-
"부산광역시","남자","35~39세",16917,14368,13670,259,439,2549,-
"부산광역시","남자","40~44세",15010,12263,11637,161,465,2747,-
"부산광역시","남자","45~49세",16979,13166,12417,258,491,3813,-
"부산광역시","남자","50~54세",18453,13446,12626,346,474,5007,-
"부산광역시","남자","55~59세",19225,12332,11690,219,423,6893,-
"부산광역시","남자","60~64세",20026,10667,10099,219,349,9359,-
"부산광역시","남자","65~69세",15015,5610,5262,149,199,9405,-
"부산광역시","남자","70세 이상",22197,3803,3471,216,116,18394,-
"부산광역시","여자","합계",248880,113256,99604,9548,4104,135624,-
"부산광역시","여자","15~19세",2634,702,231,448,23,1932,-
"부산광역시","여자","20~24세",21194,11206,7276,3698,232,9988,-
"부산광역시","여자","25~29세",22119,18388,16650,1157,581,3731,-
"부산광역시","여자","30~34세",13359,10967,10054,372,541,2392,-
"부산광역시","여자","35~39세",10892,8471,7780,302,389,2421,-
"부산광역시","여자","40~44세",9534,7119,6535,206,378,2415,-
"부산광역시","여자","45~49세",11671,8194,7394,399,401,3477,-
"부산광역시","여자","50~54세",13385,8990,8302,314,374,4395,-
"부산광역시","여자","55~59세",18386,10901,10004,505,392,7485,-
"부산광역시","여자","60~64세",26961,12180,11123,678,379,14781,-
"부산광역시","여자","65~69세",26283,7330,6556,585,189,18953,-
"부산광역시","여자","70세 이상",72462,8808,7699,884,225,63654,-
"대구광역시","계","합계",304532,166141,151190,9530,5421,138391,-
"대구광역시","계","15~19세",2746,553,216,337,-,2193,-
"대구광역시","계","20~24세",21684,9481,6525,2740,216,12203,-
"대구광역시","계","25~29세",31704,24313,22184,1590,539,7391,-
"대구광역시","계","30~34세",23990,20358,19000,769,589,3632,-
"대구광역시","계","35~39세",19702,16456,15292,508,656,3246,-
"대구광역시","계","40~44세",18143,14710,13604,528,578,3433,-
