"행정구역별(시군구)","성별","연령별","시점","전국","서울","부산","대구","인천","광주","대전","울산","세종시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별자치도","기타",
"전국","여자","35~39세","2021 년","185214","58728","11424","7497","8829","5695","5997","2739","1422","41122","4096","4815","5839","4738","3954","6832","8343","2413","731",
"전국","여자","40~44세","2020 년","154380","40927","9606","6987","8154","4714","4730","2804","1156","36225","3901","4257","5150","4293","3552","6554","7989","2376","1005",
"전국","여자","40~44세","2021 년","168152","44584","10708","7521","8718","5209","5220","2924","1322","40008","4259","4630","5513","4680","3964","7147","8539","2601","605",
"전국","여자","45~49세","2020 년","177169","38362","11675","8720","9387","5240","5495","3714","1161","41584","5169","5524","6520","5569","4989","8624","10946","2986","1504",
"전국","여자","45~49세","2021 년","178534","38841","11713","8723","9376","5469","5506","3588","1278","42381","5221","5518","6610","5802","5103","8952","10857","2992","604",
"전국","여자","50~54세","2020 년","197482","34520","13385","10518","10572","6060","6295","4340","1186","44447","6889","6922","8010","7115","6778","11177","14033","3368","1867",
"전국","여자","50~54세","2021 년","214276","38138","14381","11328","11396","6641","6837","4714","1392","49027","7443","7590","8762","7816","7240","12034","15177","3692","668",
"전국","여자","55~59세","2020 년","247316","39303","18481","14129","13840","7643","7696","5590","1179","53265","9572","8939","10622","9340","9282","14921","18141","3521","1852",
"전국","여자","55~59세","2021 년","249648","39647","18057","14057","13947","7963","7742","5624","1251","54598","9626","9093","10706","9565","9620","15271","18497","3752","632",
"전국","여자","60~64세","2020 년","310184","53126","26991","17196","16923","8736","9337","6870","1283","63574","11819","10645","12420","11836","11426","18990","23260","3744","2008",
"전국","여자","60~64세","2021 년","339988","56794","28760","18990","18910","10063","10309","7644","1447","70898","13017","12011","14108","13072","12999","20797","25432","4072","665",
"전국","여자","65~69세","2020 년","277787","48537","26317","16264","13555","7395","7841","5791","1051","53139","10273","9347","11254","11281","11553","18695","20955","2932","1607",
"전국","여자","65~69세","2021 년","314946","54944","29111","18118","15959","8369","9034","6760","1180","62220","11892","10792","12746","12548","12576","20885","23723","3466","623",
"전국","여자","70~74세","2020 년","263396","45668","24349","14276","12449","7310","6749","4613","872","47872","9801","8408","11587","13008","14534","18448","19812","2684","956",
"전국","여자","70~74세","2021 년","281076","48147","26154","15766","13074","7954","7311","5126","942","50497","10057","8874","12585","13848","15378","20518","21588","2904","353",
"전국","여자","75세 이상","2020 년","653197","92273","48204","31957","27269","16214","14925","8846","2089","104652","28713","25732","36818","39231","51108","59599","55870","6874","2823",
"전국","여자","75세 이상","2021 년","698159","99620","51644","34060","29273","17668","16156","9634","2247","113950","30867","27418","38985","42196","54179","62666","59531","7556","509",
"읍부","계","합계","2020 년","620899","11178","18367","24827","5723","3014","2414","19464","9131","146472","34597","43586","64663","21683","55453","83215","55505","16654","4953",
"읍부","계","합계","2021 년","674454","12317","20682","27153","6110","3073","2743","21388","8652","163076","36299","48116","70028","23641","59519","91218","60830","18141","1468",
"읍부","계","20세 미만","2020 년","6999","204","103","145","95","49","53","157","462","814","513","478","1105","471","676","1264","252","108","50",
"읍부","계","20세 미만","2021 년","5187","162","90","105","58","30","23","103","286","644","208","412","710","632","308","1111","235","64","6",
