"행정구역별","성별","연령별","혼인상태별","시점","1인가구-계","본인의 직장 때문에","본인의 학업 때문에","본인의 독립 생활을 위하여","본인의 건강 때문에","가족이 학업,취업,홍인,건강등으로 타지에 거주하게 되어서","가족과 사별","기타",
"동부","계","30~34","이혼","2020년","11092","4307","","5528","","776","437","44",
"동부","계","35~39","합계","2020년","429423","225251","938","161338","2345","26636","10502","2413",
"동부","계","35~39","미혼","2020년","362136","189012","866","143748","2024","15961","8676","1849",
"동부","계","35~39","배우자 있음","2020년","39179","25717","72","3708","136","8534","558","454",
"동부","계","35~39","사별","2020년","943","378","","145","","61","351","8",
"동부","계","35~39","이혼","2020년","27165","10144","","13737","185","2080","917","102",
"동부","계","40~44","합계","2020년","359437","167639","338","145523","3790","27131","12268","2748",
"동부","계","40~44","미혼","2020년","262411","120753","275","115117","2830","12138","9221","2077",
"동부","계","40~44","배우자 있음","2020년","47517","31159","63","4647","335","10092","703","518",
"동부","계","40~44","사별","2020년","1614","357","","244","18","218","764","13",
"동부","계","40~44","이혼","2020년","47895","15370","","25515","607","4683","1580","140",
"동부","계","45~49","합계","2020년","390531","161336","211","156761","5217","44584","18739","3683",
"동부","계","45~49","미혼","2020년","222768","90726","161","101829","3370","12248","11718","2716",
"동부","계","45~49","배우자 있음","2020년","70771","44883","50","7233","451","16446","1048","660",
"동부","계","45~49","사별","2020년","4872","915","","628","69","1050","2188","22",
"동부","계","45~49","이혼","2020년","92120","24812","","47071","1327","14840","3785","285",
"동부","계","50~54","합계","2020년","393310","137159","56","149149","7006","70705","25011","4224",
"동부","계","50~54","미혼","2020년","151619","52395","31","71972","3614","10050","10620","2937",
"동부","계","50~54","배우자 있음","2020년","88276","52016","25","9275","741","24317","1131","771",
"동부","계","50~54","사별","2020년","16052","2302","","1646","152","4852","7047","53",
"동부","계","50~54","이혼","2020년","137363","30446","","66256","2499","31486","6213","463",
"동부","계","55~59","합계","2020년","413826","110146","23","143480","9391","104494","41825","4467",
"동부","계","55~59","미혼","2020년","96986","27013","","46928","3500","7765","8954","2826",
"동부","계","55~59","배우자 있음","2020년","99613","49524","23","12738","1346","33245","1791","946",
"동부","계","55~59","사별","2020년","46053","4435","","4555","475","14982","21495","111",
"동부","계","55~59","이혼","2020년","171174","29174","","79259","4070","48502","9585","584",
"동부","계","60~64","합계","2020년","440021","77514","16","140250","10266","132361","76928","2686",
"동부","계","60~64","미혼","2020년","62988","13483","","33436","2848","5358","7098","765",
"동부","계","60~64","배우자 있음","2020년","95803","35917","16","15294","1983","39183","2208","1202",
"동부","계","60~64","사별","2020년","104526","5832","","10220","928","32123","55260","163",
"동부","계","60~64","이혼","2020년","176704","22282","","81300","4507","55697","12362","556",
"동부","계","65~69","합계","2020년","342070","33580","6","97153","8062","107214","93958","2097",
"동부","계","65~69","미혼","2020년","32604","4684","","18844","1649","2890","4058","479",
"동부","계","65~69","배우자 있음","2020년","58522","15704","6","10830","1983","27144","1841","1014",
"동부","계","65~69","사별","2020년","138287","4481","","14011","1507","39498","78578","212",
"동부","계","65~69","이혼","2020년","112657","8711","","53468","2923","37682","9481","392",
"동부","계","70~74","합계","2020년","278118","13714","14","61012","6370","85279","110634","1095",
"동부","계","70~74","미혼","2020년","15059","1512","","8965","890","1335","2197","160",
"동부","계","70~74","배우자 있음","2020년","36358","6075","14","7916","1708","18345","1754","546",
"동부","계","70~74","사별","2020년","168609","3349","","16332","2062","46158","100487","221",
"동부","계","70~74","이혼","2020년","58092","2778","","27799","1710","19441","6196","168",
"동부","계","75~79","합계","2020년","235681","6544","","31549","6080","74384","116313","811",
"동부","계","75~79","미혼","2020년","8179","754","","3797","571","1623","1337","97",
"동부","계","75~79","배우자 있음","2020년","21720","2546","","3907","1667","11911","1341","348",
"동부","계","75~79","사별","2020년","180199","2349","","13199","2944","50817","110574","316",
"동부","계","75~79","이혼","2020년","25583","895","","10646","898","10033","3061","50",
"동부","계","80~84","합계","2020년","171984","808","","","4904","71071","94802","399",
"동부","계","80~84","미혼","2020년","3461","86","","","248","2513","568","46",
"동부","계","80~84","배우자 있음","2020년","12195","332","","","1065","9517","1162","119",
"동부","계","80~84","사별","2020년","147457","329","","","3246","51965","91716","201",
"동부","계","80~84","이혼","2020년","8871","61","","","345","7076","1356","33",
"동부","계","85세 이상","합계","2020년","110886","","","","5311","42485","62726","364",
"동부","계","85세 이상","미혼","2020년","2032","","","","313","1286","405","28",
"동부","계","85세 이상","배우자 있음","2020년","5853","","","","629","4509","642","73",
"동부","계","85세 이상","사별","2020년","100270","","","","4187","34691","61154","238",
"동부","계","85세 이상","이혼","2020년","2731","","","","182","1999","525","25",
"동부","남자","합계","합계","2020년","2630040","1134510","153188","814741","34201","287634","187500","18266",
"동부","남자","합계","미혼","2020년","1691285","829295","152959","548185","14877","77754","55933","12282",
"동부","남자","합계","배우자 있음","2020년","343628","203854","217","38794","5565","85151","6014","4033",
"동부","남자","합계","사별","2020년","145929","7553","","9365","2732","29642","96404","233",
"동부","남자","합계","이혼","2020년","449198","93808","12","218397","11027","95087","29149","1718",
"동부","남자","20세 미만","합계","2020년","27897","4608","22201","","","943","134","11",
"동부","남자","20세 미만","미혼","2020년","27897","4608","22201","","","943","134","11",
