"행정구역별","성별","연령별","시점","1인가구","초등학교","중학교","고등학교","대학(4년제미만)","대학교(4년제이상)","대학원","안받았음(미취학 포함)",
"면부","계","70~74","2015년","81608","38072","6704","4285","488","1553","339","30167",
"면부","계","75~79","2015년","103536","40330","4617","2922","268","795","173","54431",
"면부","계","80~84","2015년","87271","26862","2314","1720","122","555","53","55645",
"면부","계","85세 이상","2015년","49149","10426","1104","603","77","153","14","36772",
"면부","남자","합계","2015년","211903","37093","27375","67552","19239","41658","8269","10717",
"면부","남자","20세 미만","2015년","1977","","62","439","471","1005","","",
"면부","남자","20~24","2015년","9470","","26","1189","1964","6247","42","2",
"면부","남자","25~29","2015년","9942","","40","2158","2075","5056","613","",
"면부","남자","30~34","2015년","11379","","112","3107","2691","4579","886","4",
"면부","남자","35~39","2015년","11611","","254","4667","2337","3635","707","11",
"면부","남자","40~44","2015년","14911","83","710","7641","2314","3190","964","9",
"면부","남자","45~49","2015년","18538","654","1679","9772","1960","3476","943","54",
"면부","남자","50~54","2015년","24402","2135","3694","11225","1830","4297","1133","88",
"면부","남자","55~59","2015년","27184","4628","5684","10104","1685","3666","1227","190",
"면부","남자","60~64","2015년","21139","5154","4740","6490","814","2465","825","651",
"면부","남자","65~69","2015년","17498","5487","3608","4718","514","1690","484","997",
"면부","남자","70~74","2015년","14671","5589","2944","2812","297","1152","243","1634",
"면부","남자","75~79","2015년","13421","6174","2132","1801","148","629","150","2387",
"면부","남자","80~84","2015년","9792","4581","1086","1097","80","455","44","2449",
"면부","남자","85세 이상","2015년","5968","2608","604","332","59","116","8","2241",
"면부","여자","합계","2015년","424889","144480","31524","37461","9394","17591","3856","180583",
"면부","여자","20세 미만","2015년","1548","","7","219","573","749","","",
"면부","여자","20~24","2015년","6540","","49","477","1634","4279","92","9",
"면부","여자","25~29","2015년","3971","","42","859","661","2057","349","3",
"면부","여자","30~34","2015년","3786","","66","1095","733","1468","422","2",
"면부","여자","35~39","2015년","3832","","96","1606","782","1036","312","",
"면부","여자","40~44","2015년","5458","26","194","3006","744","1163","321","4",
"면부","여자","45~49","2015년","9097","405","872","4947","977","1349","508","39",
"면부","여자","50~54","2015년","16057","2306","3275","6944","1071","1716","668","77",
"면부","여자","55~59","2015년","25156","7483","6898","7464","945","1491","597","278",
"면부","여자","60~64","2015년","29820","14208","6664","4402","570","942","323","2711",
"면부","여자","65~69","2015년","41912","23314","5388","2954","333","637","130","9156",
"면부","여자","70~74","2015년","66937","32483","3760","1473","191","401","96","28533",
"면부","여자","75~79","2015년","90115","34156","2485","1121","120","166","23","52044",
"면부","여자","80~84","2015년","77479","22281","1228","623","42","100","9","53196",
"면부","여자","85세 이상","2015년","43181","7818","500","271","18","37","6","34531",
"서울특별시","계","합계","2015년","1114964","111938","91442","270208","121449","399334","81291","39302",
"서울특별시","계","20세 미만","2015년","12612","6","217","3507","2023","6859","","",
"서울특별시","계","20~24","2015년","93906","","275","9854","15757","65702","2318","",
"서울특별시","계","25~29","2015년","157730","","296","14799","23408","101962","17252","13",
"서울특별시","계","30~34","2015년","144964","","653","21251","25371","79949","17712","28",
"서울특별시","계","35~39","2015년","100013","","1163","23953","18026","44516","12349","6",
"서울특별시","계","40~44","2015년","88614","158","2636","32052","13067","30414","10245","42",
"서울특별시","계","45~49","2015년","75893","1436","5396","33024","7965","20847","7185","40",
"서울특별시","계","50~54","2015년","72223","4749","10265","32452","5128","14414","5122","93",
"서울특별시","계","55~59","2015년","77869","10233","16627","32741","3880","10440","3753","195",
"서울특별시","계","60~64","2015년","66776","13834","16530","22860","2602","7297","2173","1480",
"서울특별시","계","65~69","2015년","65104","19109","14488","18067","1702","6193","1411","4134",
"서울특별시","계","70~74","2015년","60875","23651","10793","12101","1117","4647","720","7846",
"서울특별시","계","75~79","2015년","49976","21397","6815","7059","727","3258","614","10106",
"서울특별시","계","80~84","2015년","31734","11560","3706","4555","444","1990","262","9217",
"서울특별시","계","85세 이상","2015년","16675","5805","1582","1933","232","846","175","6102",
"서울특별시","남자","합계","2015년","511647","25912","36809","136760","56005","211447","39912","4802",
"서울특별시","남자","20세 미만","2015년","5773","","126","1858","834","2955","","",
"서울특별시","남자","20~24","2015년","36840","","118","4512","4766","26642","802","",
"서울특별시","남자","25~29","2015년","78727","","168","7950","9964","52407","8225","13",
"서울특별시","남자","30~34","2015년","81357","","467","12327","12727","46940","8879","17",
"서울특별시","남자","35~39","2015년","56290","","815","13714","9412","26383","5960","6",
"서울특별시","남자","40~44","2015년","51234","95","1871","19186","6988","17931","5139","24",
"서울특별시","남자","45~49","2015년","44115","956","3439","19390","4225","12588","3480","37",
"서울특별시","남자","50~54","2015년","39105","2526","5913","17265","2594","8174","2576","57",
"서울특별시","남자","55~59","2015년","36365","4423","7373","15040","1857","5652","1899","121",
"서울특별시","남자","60~64","2015년","25523","4343","5869","9176","1081","3430","1105","519",
"서울특별시","남자","65~69","2015년","20943","4055","4403","7305","605","3041","734","800",
"서울특별시","남자","70~74","2015년","16464","4318","3246","4778","410","2222","461","1029",
"서울특별시","남자","75~79","2015년","10496","3047","1678","2494","283","1621","358","1015",
"서울특별시","남자","80~84","2015년","5441","1339","823","1246","170","957","166","740",
"서울특별시","남자","85세 이상","2015년","2974","810","500","519","89","504","128","424",
"서울특별시","여자","합계","2015년","603317","86026","54633","133448","65444","187887","41379","34500",
"서울특별시","여자","20세 미만","2015년","6839","6","91","1649","1189","3904","","",
"서울특별시","여자","20~24","2015년","57066","","157","5342","10991","39060","1516","",
"서울특별시","여자","25~29","2015년","79003","","128","6849","13444","49555","9027","",
"서울특별시","여자","30~34","2015년","63607","","186","8924","12644","33009","8833","11",
"서울특별시","여자","35~39","2015년","43723","","348","10239","8614","18133","6389","",
"서울특별시","여자","40~44","2015년","37380","63","765","12866","6079","12483","5106","18",
"서울특별시","여자","45~49","2015년","31778","480","1957","13634","3740","8259","3705","3",
"서울특별시","여자","50~54","2015년","33118","2223","4352","15187","2534","6240","2546","36",
"서울특별시","여자","55~59","2015년","41504","5810","9254","17701","2023","4788","1854","74",
"서울특별시","여자","60~64","2015년","41253","9491","10661","13684","1521","3867","1068","961",
"서울특별시","여자","65~69","2015년","44161","15054","10085","10762","1097","3152","677","3334",
"서울특별시","여자","70~74","2015년","44411","19333","7547","7323","707","2425","259","6817",
"서울특별시","여자","75~79","2015년","39480","18350","5137","4565","444","1637","256","9091",
"서울특별시","여자","80~84","2015년","26293","10221","2883","3309","274","1033","96","8477",
"서울특별시","여자","85세 이상","2015년","13701","4995","1082","1414","143","342","47","5678",
"종로구","계","합계","2015년","22726","2426","1840","4054","1575","9280","2846","705",
"종로구","계","20세 미만","2015년","305","","9","67","13","216","","",
"종로구","계","20~24","2015년","2693","","7","69","266","2296","55","",
"종로구","계","25~29","2015년","3845","","6","226","314","2558","741","",
"종로구","계","30~34","2015년","2351","","3","232","291","1271","554","",
"종로구","계","35~39","2015년","1548","","41","309","196","721","281","",
"종로구","계","40~44","2015년","1452","","89","391","172","537","263","",
"종로구","계","45~49","2015년","1527","24","136","542","67","500","258","",
"종로구","계","50~54","2015년","1529","82","194","571","103","335","244","",
"종로구","계","55~59","2015년","1399","152","314","433","90","199","201","10",
"종로구","계","60~64","2015년","1253","231","354","409","19","148","58","34",
"종로구","계","65~69","2015년","1373","439","230","345","26","201","87","45",
"종로구","계","70~74","2015년","1351","608","243","191","10","97","52","150",
"종로구","계","75~79","2015년","1084","497","138","126","6","59","41","217",
"종로구","계","80~84","2015년","672","285","57","88","","81","3","158",
"종로구","계","85세 이상","2015년","344","108","19","55","2","61","8","91",
"종로구","남자","합계","2015년","11446","696","916","2264","805","5256","1373","136",
"종로구","남자","20세 미만","2015년","133","","7","56","","70","","",
"종로구","남자","20~24","2015년","1335","","7","44","150","1100","34","",
"종로구","남자","25~29","2015년","2353","","6","121","148","1641","437","",
"종로구","남자","30~34","2015년","1294","","3","141","150","756","244","",
"종로구","남자","35~39","2015년","944","","33","223","118","456","114","",
