"행정구역별(시군구)","연령별",2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"인천광역시","80~84",7412,1247,6165,8221,1449,6772,8949,1677,7272,9675,1896,7779,10645,2126,8519,11459,2247,9212,12460,2553,9907
"인천광역시","85세 이상",4447,763,3684,4936,826,4110,5454,912,4542,6091,1038,5053,6885,1223,5662,7961,1464,6497,9061,1727,7334
"광주광역시","합계",163577,83271,80306,165169,83164,82005,171424,86237,85187,174614,87655,86959,182364,91221,91143,193948,96817,97131,212385,106566,105819
"광주광역시","20세 미만",2109,1023,1086,2351,1115,1236,2316,1077,1239,2178,982,1196,2512,1110,1402,2761,1231,1530,2132,900,1232
"광주광역시","20~24",14244,6098,8146,14400,6324,8076,15202,6599,8603,15472,6632,8840,16440,7204,9236,17982,7548,10434,18368,7713,10655
"광주광역시","25~29",18293,10273,8020,17256,9796,7460,17883,10203,7680,18635,10670,7965,20768,11762,9006,23291,12753,10538,27151,14843,12308
"광주광역시","30~34",19161,12137,7024,17899,11315,6584,17076,10795,6281,16129,10245,5884,16414,10458,5956,17700,11320,6380,19940,12653,7287
"광주광역시","35~39",14968,9951,5017,14749,9708,5041,15204,9944,5260,15378,10147,5231,15563,10228,5335,15817,10407,5410,16565,10938,5627
"광주광역시","40~44",14558,9771,4787,13611,9020,4591,13709,9156,4553,13130,8700,4430,13061,8568,4493,13684,9019,4665,15024,9855,5169
"광주광역시","45~49",13796,8911,4885,13997,8862,5135,14641,9282,5359,14590,9393,5197,14674,9376,5298,14641,9456,5185,15418,10024,5394
"광주광역시","50~54",12907,7350,5557,12923,7348,5575,13428,7722,5706,13805,8027,5778,14432,8431,6001,14868,8933,5935,16576,10066,6510
"광주광역시","55~59",12956,6414,6542,14127,6969,7158,14992,7354,7638,15387,7586,7801,15298,7572,7726,15300,7752,7548,16216,8393,7823
"광주광역시","60~64",9585,3972,5613,10850,4612,6238,11968,5196,6772,13128,5799,7329,14295,6292,8003,15680,7020,8660,18100,8112,9988
"광주광역시","65~69",8568,2858,5710,9186,3094,6092,9702,3418,6284,9984,3580,6404,10476,3865,6611,11841,4435,7406,13592,5274,8318
