"서울특별시","계","75~79",54109,1947,-,8974,1472,15865,25618,233
"서울특별시","계","80~84",37968,200,-,-,1026,16456,20183,103
"서울특별시","계","85세 이상",25140,-,-,-,1250,9551,14276,63
"서울특별시","남자","합계",650999,285991,36870,210237,7141,61562,44394,4804
"서울특별시","남자","20세 미만",5345,942,4206,-,-,176,13,8
"서울특별시","남자","20~24",42602,12424,19094,8417,-,1971,610,86
"서울특별시","남자","25~29",114318,70485,11988,26061,-,3769,1574,441
"서울특별시","남자","30~34",102247,66431,1275,28171,229,4099,1575,467
"서울특별시","남자","35~39",70540,38723,203,25520,272,3534,1871,417
"서울특별시","남자","40~44",51144,24402,45,20035,592,3644,1998,428
"서울특별시","남자","45~49",52330,23023,48,21001,576,4432,2768,482
"서울특별시","남자","50~54",48793,17639,11,21090,797,5127,3481,648
"서울특별시","남자","55~59",46352,14377,-,19578,1135,6402,4135,725
"서울특별시","남자","60~64",42318,10237,-,17764,1215,7947,4740,415
"서울특별시","남자","65~69",28985,4457,-,11891,868,6539,4842,388
"서울특별시","남자","70~74",20181,1895,-,7500,577,4892,5146,171
"서울특별시","남자","75~79",13245,865,-,3209,420,3588,5055,108
"서울특별시","남자","80~84",7863,91,-,-,228,3743,3781,20
"서울특별시","남자","85세 이상",4736,-,-,-,232,1699,2805,-
"서울특별시","여자","합계",739702,264108,40987,196889,7750,119340,107420,3208
"서울특별시","여자","20세 미만",8892,1318,7207,-,-,306,53,8
"서울특별시","여자","20~24",81336,35289,27532,14413,-,3163,824,115
"서울특별시","여자","25~29",124199,86299,5243,27092,-,4129,1201,235
"서울특별시","여자","30~34",81326,51862,631,23643,179,3621,1187,203
"서울특별시","여자","35~39",55945,29739,272,21070,232,3286,1129,217
"서울특별시","여자","40~44",40374,17340,59,18109,306,3077,1209,274
"서울특별시","여자","45~49",37856,12819,14,17872,447,4621,1783,300
"서울특별시","여자","50~54",33911,9248,7,14929,409,6548,2400,370
"서울특별시","여자","55~59",38624,7195,8,14482,779,11254,4380,526
"서울특별시","여자","60~64",52516,6488,6,16404,966,17501,10872,279
"서울특별시","여자","65~69",48062,3496,-,13109,896,15419,14865,277
"서울특별시","여자","70~74",45288,1824,8,10001,668,13573,19081,133
"서울특별시","여자","75~79",40864,1082,-,5765,1052,12277,20563,125
"서울특별시","여자","80~84",30105,109,-,-,798,12713,16402,83
"서울특별시","여자","85세 이상",20404,-,-,-,1018,7852,11471,63
"부산광역시","계","합계",455207,111890,26691,133533,7181,95997,77402,2513
"부산광역시","계","20세 미만",4513,509,3909,-,-,89,6,-
"부산광역시","계","20~24",36903,10506,18703,6112,-,1156,385,41
"부산광역시","계","25~29",46740,26787,3678,13716,-,1752,624,183
"부산광역시","계","30~34",33655,17985,268,12805,152,1789,526,130
"부산광역시","계","35~39",27809,11547,76,13248,175,1818,759,186
"부산광역시","계","40~44",24544,9221,46,11778,263,1959,1062,215
"부산광역시","계","45~49",28650,9244,-,13397,540,3550,1521,398
"부산광역시","계","50~54",31838,8620,6,13310,653,6546,2406,297
"부산광역시","계","55~59",37611,7406,-,13258,947,11337,4267,396
"부산광역시","계","60~64",46987,5761,5,15062,1101,15996,8816,246
"부산광역시","계","65~69",41298,2743,-,11034,915,14790,11628,188
"부산광역시","계","70~74",34080,1063,-,6531,774,11609,13998,105
"부산광역시","계","75~79",28761,437,-,3282,674,10135,14175,58
"부산광역시","계","80~84",20250,61,-,-,531,8870,10756,32
"부산광역시","계","85세 이상",11568,-,-,-,456,4601,6473,38
"부산광역시","남자","합계",206311,66011,14332,71721,3509,29745,19581,1412
"부산광역시","남자","20세 미만",1863,242,1576,-,-,45,-,-
"부산광역시","남자","20~24",15709,3070,9493,2368,-,564,194,20
"부산광역시","남자","25~29",24621,13476,2959,6721,-,1026,370,69
"부산광역시","남자","30~34",20296,11279,234,7238,58,1006,388,93
"부산광역시","남자","35~39",16917,7636,40,7545,106,965,509,116
"부산광역시","남자","40~44",15010,6292,25,6586,160,1048,768,131
"부산광역시","남자","45~49",16979,6278,-,7611,275,1633,945,237
"부산광역시","남자","50~54",18453,6142,-,7949,426,2516,1263,157
"부산광역시","남자","55~59",19225,5131,-,7788,575,3670,1833,228
"부산광역시","남자","60~64",20026,3788,5,8133,587,4985,2351,177
"부산광역시","남자","65~69",15015,1779,-,5470,472,4625,2585,84
"부산광역시","남자","70~74",9789,676,-,3139,333,2820,2757,64
"부산광역시","남자","75~79",6395,202,-,1173,232,2245,2521,22
"부산광역시","남자","80~84",3872,20,-,-,173,1787,1878,14
"부산광역시","남자","85세 이상",2141,-,-,-,112,810,1219,-
"부산광역시","여자","합계",248896,45879,12359,61812,3672,66252,57821,1101
"부산광역시","여자","20세 미만",2650,267,2333,-,-,44,6,-
"부산광역시","여자","20~24",21194,7436,9210,3744,-,592,191,21
"부산광역시","여자","25~29",22119,13311,719,6995,-,726,254,114
"부산광역시","여자","30~34",13359,6706,34,5567,94,783,138,37
"부산광역시","여자","35~39",10892,3911,36,5703,69,853,250,70
"부산광역시","여자","40~44",9534,2929,21,5192,103,911,294,84
"부산광역시","여자","45~49",11671,2966,-,5786,265,1917,576,161
"부산광역시","여자","50~54",13385,2478,6,5361,227,4030,1143,140
"부산광역시","여자","55~59",18386,2275,-,5470,372,7667,2434,168
"부산광역시","여자","60~64",26961,1973,-,6929,514,11011,6465,69
"부산광역시","여자","65~69",26283,964,-,5564,443,10165,9043,104
"부산광역시","여자","70~74",24291,387,-,3392,441,8789,11241,41
"부산광역시","여자","75~79",22366,235,-,2109,442,7890,11654,36
"부산광역시","여자","80~84",16378,41,-,-,358,7083,8878,18
"부산광역시","여자","85세 이상",9427,-,-,-,344,3791,5254,38
"대구광역시","계","합계",304543,81015,15267,87239,4508,60516,54192,1806
"대구광역시","계","20세 미만",2757,277,2385,-,-,77,18,-
"대구광역시","계","20~24",21684,6493,10216,3957,-,806,164,48
"대구광역시","계","25~29",31704,18349,2352,9448,-,1141,301,113
"대구광역시","계","30~34",23990,13152,249,8625,91,1359,385,129
"대구광역시","계","35~39",19702,8907,39,8546,153,1434,487,136
"대구광역시","계","40~44",18143,7077,26,8162,259,1821,657,141
"대구광역시","계","45~49",21874,7743,-,9593,274,2836,1253,175
"대구광역시","계","50~54",24351,7065,-,9671,477,5172,1641,325
"대구광역시","계","55~59",27615,5649,-,9642,643,8005,3315,361
"대구광역시","계","60~64",29264,3809,-,8566,617,9998,6152,122
"대구광역시","계","65~69",24493,1600,-,5865,531,8428,7970,99
"대구광역시","계","70~74",19568,587,-,3449,467,6106,8897,62
"대구광역시","계","75~79",17391,269,-,1715,378,5396,9604,29
