"가구원수별","가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4
"가구원수별","가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"1인","11.음식 · 숙박",222383,296433,142286,219218,278929,146149,228694,294129,149200,238482,305018,155816,203632,265215,126584,229169,295706,146002,232443,296361,148948,213783,273713,134121,203989,272668,117416,239306,299894,154256,240189,297469,157386,251276,312635,164304,232620,297406,143255,277993,343724,182926,300965,369614,198266,291341,359413,189004
"1인","12.기타상품 · 서비스",113774,138295,87251,117330,142752,86221,117030,145665,82243,118238,146295,83380,99283,115582,78892,97034,110543,80148,110107,123957,92016,99089,111675,82360,101147,116658,81594,107475,122405,86519,107207,120981,87296,122276,147967,85859,109102,131887,77672,129143,134199,121831,120129,134431,98733,124187,135448,107259
"1인","비소비지출",553120,778328,309523,515032,713656,271977,550685,741441,318947,459010,616144,263784,488845,644262,294399,457933,631763,240655,494956,673828,261298,478095,645559,255496,506886,703979,258441,484744,657874,241718,542290,708704,301727,513447,697159,253048,566320,759777,299465,536674,699575,301066,610665,752619,398302,567089,755677,283572
"1인","처분가능소득",1854528,2389115,1276289,1846713,2275987,1321414,1739671,2197738,1183191,1795567,2251990,1228497,1806555,2347671,1129548,1847744,2315527,1263043,1870832,2365175,1225084,1816635,2239575,1254446,1966375,2591826,1177965,1939295,2403832,1287214,2102350,2547243,1459226,2025254,2413007,1475641,2159528,2614047,1532564,2268771,2518520,1907554,2240419,2628877,1659283,2148115,2558145,1531688
"1인","흑자액",397163,659083,113856,476135,716303,182243,377948,646801,51335,322693,527728,67954,512269,872226,61915,555339,870525,161376,516181,859596,67587,475116,737602,126211,658677,1103548,97895,561117,865072,134449,660388,987177,187990,537499,761252,220346,692463,961897,320805,714144,845257,524511,651774,916587,255611,543279,816006,133270
"1인","흑자율 (%)",21.4,27.6,8.9,25.8,31.5,13.8,21.7,29.4,4.3,18.0,23.4,5.5,28.4,37.2,5.5,30.1,37.6,12.8,27.6,36.3,5.5,26.2,32.9,10.1,33.5,42.6,8.3,28.9,36.0,10.4,31.4,38.8,12.9,26.5,31.5,14.9,32.1,36.8,20.9,31.5,33.6,27.5,29.1,34.9,15.4,25.3,31.9,8.7
"1인","평균소비성향 (%)",78.6,72.4,91.1,74.2,68.5,86.2,78.3,70.6,95.7,82.0,76.6,94.5,71.6,62.8,94.5,69.9,62.4,87.2,72.4,63.7,94.5,73.8,67.1,89.9,66.5,57.4,91.7,71.1,64.0,89.6,68.6,61.2,87.1,73.5,68.5,85.1,67.9,63.2,79.1,68.5,66.4,72.5,70.9,65.1,84.6,74.7,68.1,91.3
"2인","가구원수 (명)",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
"2인","가구주연령 (세)",60.07,52.21,66.36,59.71,53.39,65.77,59.90,53.18,66.35,60.09,54.48,65.54,60.00,53.54,65.35,59.70,53.19,65.49,59.84,53.23,65.94,59.52,53.44,65.51,59.80,52.80,65.52,59.45,54.26,64.28,59.69,54.58,64.49,59.92,53.58,65.78,59.95,52.96,66.28,59.44,53.50,65.35,59.75,54.60,65.00,59.93,54.24,65.80
"2인","가구분포 (%)",27.09,21.04,35.21,27.10,22.20,34.35,27.10,22.53,33.65,27.16,22.53,33.94,27.72,21.92,35.51,27.65,22.71,34.30,27.56,22.63,34.49,27.55,23.24,33.70,28.04,22.22,35.69,28.13,22.81,35.95,28.06,22.86,35.73,27.97,22.77,35.47,28.02,22.75,35.50,28.02,23.42,34.85,28.02,23.34,35.23,28.02,23.12,35.89
